,指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
99,中证1000,32.63,22.53,1.88,4.3,1.34,97.57,000852.SH,2014-10-17,2024-04-03
100,德国DAX,14.16,22.55,1.55,22.19,2.85,45.62,GDAXI.GI,1988-01-01,2024-04-01
101,CS医药创新,25.12,22.58,4.57,0.42,1.51,93.07,931484.CSI,2020-05-06,2024-04-03
102,消费龙头,22.29,22.64,4.83,37.3,2.43,86.72,931068.CSI,2018-11-21,2024-04-03
103,医疗保健,36.45,22.81,3.4,0.33,1.94,99.51,h30178.CSI,2013-07-15,2024-04-03
104,科技龙头,34.08,23.27,3.25,2.61,1.04,96.49,931087.CSI,2019-03-20,2024-04-03
105,龙头家电,14.3,23.83,2.84,19.75,2.75,36.51,980028.CNI,2015-02-16,2024-04-03
106,万得全A(除金融、石油石化),26.49,23.84,2.03,7.77,1.72,96.38,881003.WI,2006-06-14,2024-04-03
107,中证800,12.89,23.96,1.32,6.0,2.69,88.57,000906.SH,2007-01-15,2024-04-03
108,中证有色,20.58,24.08,2.41,36.03,1.52,91.24,930708.CSI,2015-07-13,2024-04-03
109,中证生科,40.95,24.15,3.55,0.33,1.49,99.47,930743.CSI,2015-08-26,2024-04-03
110,中证金融,6.83,24.17,0.67,3.45,4.17,81.79,000934.SH,2009-07-03,2024-04-03
111,新兴科技100,24.72,24.17,4.29,13.58,1.61,98.0,931165.CSI,2019-04-25,2024-04-03
112,500成长创新,17.56,24.18,1.94,7.13,2.02,85.01,931590.CSI,2020-11-09,2024-04-03
113,A股资源,12.69,24.29,1.68,94.08,4.3,86.11,000805.CSI,2012-01-06,2024-04-03
114,医药50,26.76,24.73,4.02,0.41,1.54,98.12,931140.CSI,2019-03-20,2024-04-03
115,国证成长,17.48,25.05,2.45,17.89,2.3,95.56,399370.SZ,2010-01-04,2024-04-03
116,万得全A,16.84,25.65,1.46,3.7,2.17,92.52,881001.WI,2006-06-14,2024-04-03
117,中证银行,5.22,25.85,0.56,13.28,5.28,77.85,399986.SZ,2013-07-15,2024-04-03
118,万得300除金融,17.78,25.94,2.02,38.55,2.41,85.61,881007.WI,,2024-04-03
119,5G通信,28.39,26.0,2.98,17.08,1.15,81.83,931079.CSI,2019-04-25,2024-04-03
120,通信技术,31.74,26.32,3.19,34.55,0.93,93.55,931144.CSI,2019-05-30,2024-04-03
121,180金融,6.42,26.39,0.66,5.43,4.65,79.53,000018.SH,2007-12-10,2024-04-03
122,CS高股息,15.15,26.46,2.67,35.4,4.52,96.53,930838.CSI,2016-06-08,2024-04-03
123,小盘成长,21.54,26.59,1.98,7.19,1.97,97.45,399376.SZ,2010-01-04,2024-04-03
124,医疗器械,34.8,26.63,3.24,0.49,2.17,99.55,h30217.CSI,2013-07-15,2024-04-03
125,全指金融地产,7.12,26.8,0.67,2.59,4.07,81.18,000992.SH,2011-08-02,2024-04-03
126,HKC互联网,28.45,26.82,2.86,9.96,0.52,86.08,931637.CSI,2021-01-11,2024-04-03
127,社会服务(申万),42.73,26.92,2.65,1.52,0.5,56.39,801210.SI,2003-10-16,2024-04-03
128,消费红利,23.94,27.0,5.39,52.12,2.63,92.15,H30094.CSI,,2024-04-03
129,科技100,22.08,27.25,2.78,16.81,1.27,71.82,931187.CSI,2019-05-30,2024-04-03
130,中证传媒,32.69,27.39,2.08,12.11,1.86,86.53,399971.SZ,2014-04-15,2024-04-03
131,公用事业(申万),19.73,27.58,1.56,31.24,2.0,49.82,801160.SI,2003-10-16,2024-04-03
132,风电设备(申万),23.91,27.75,1.3,2.67,1.0,63.67,801736.SI,2021-12-13,2024-04-03
133,机械设备(申万),28.0,28.24,2.15,24.54,1.24,88.82,801890.SI,2014-02-21,2024-04-03
134,全指信息,47.38,28.48,3.07,7.23,0.9,92.85,000993.SH,2011-08-02,2024-04-03
135,沪深300,11.75,28.74,1.26,6.62,2.94,86.55,000300.SH,2005-04-08,2024-04-03
136,饮料指数,26.17,28.81,6.52,54.09,2.36,90.34,h30205.CSI,2013-07-15,2024-04-03
137,交通运输(申万),15.4,29.06,1.3,10.28,2.56,86.56,801170.SI,2003-10-16,2024-04-03
138,中证白酒,25.69,30.12,7.2,45.04,2.38,93.79,399997.SZ,2015-01-21,2024-04-03
139,中证全指,16.36,31.52,1.45,4.97,2.22,91.16,000985.CSI,2011-08-02,2024-04-03
140,TMT50,33.34,31.73,2.89,7.11,1.15,85.66,399610.SZ,2010-11-08,2024-04-03
141,沪深300周期,8.17,31.77,0.84,16.77,4.32,83.07,000968.CSI,2010-05-28,2024-04-03
142,绩优策略,16.23,32.08,3.99,8.81,3.18,86.82,931067.CSI,2018-02-14,2024-04-03
143,湾创100,16.94,32.42,2.01,14.62,2.26,89.78,980001.CNI,2019-04-09,2024-04-01
144,稀土产业,31.32,32.46,2.01,20.0,0.97,93.36,930598.CSI,2015-03-02,2024-04-03
145,航运指数,11.23,32.66,1.28,14.26,7.2,87.14,H30216.CSI,2013-07-15,2024-04-03
146,大盘指数(申万),13.25,33.46,1.4,4.27,3.03,85.86,801811.SI,1999-12-30,2024-04-03
147,中证红利,6.82,34.03,0.73,21.99,5.3,78.26,000922.CSI,2008-05-26,2024-04-03
148,CS计算机,50.13,34.17,3.35,4.93,0.9,91.39,930651.CSI,2015-06-05,2024-04-03
149,日经225,17.88,34.43,2.18,98.44,2.1,84.91,N225.GI,1949-05-16,2024-04-01
150,科创50,43.65,35.37,3.33,0.78,1.03,96.0,000688.SH,2020-07-23,2024-04-03
151,SHS高股息(CNY),6.15,35.41,0.61,23.74,7.74,73.94,930917.CSI,2016-12-28,2024-04-03
152,中证移动互联,37.99,35.51,2.84,1.66,1.08,86.09,399970.SZ,2014-05-05,2024-04-03
153,500质量,14.49,35.53,2.26,54.87,2.29,76.36,930939.CSI,2018-11-21,2024-04-03
154,红利低波100,6.28,35.57,0.66,22.86,5.33,79.72,930955.CSI,2017-05-26,2024-04-03
155,SHS科技龙头,27.96,35.59,3.39,5.2,0.93,87.04,931524.CSI,2020-07-16,2024-04-03
156,沪深300红利,6.77,35.68,0.72,20.47,5.25,79.28,000821.CSI,2012-07-20,2024-04-03
157,全指能源,11.8,36.0,1.48,92.89,5.22,82.66,000986.SH,2011-08-02,2024-04-03
158,基本面50,8.38,36.13,0.88,11.63,4.4,78.46,000925.CSI,2009-02-26,2024-04-03
159,中证消费,28.02,36.46,5.21,46.28,2.31,94.25,000932.SH,2009-07-03,2024-04-03
160,大盘价值,7.65,36.79,0.81,20.76,4.92,82.57,399373.SZ,2010-01-04,2024-04-03
161,基础化工(申万),21.02,37.73,1.8,10.77,1.75,67.37,801030.SI,2003-10-16,2024-04-03
162,300非银,15.17,38.22,1.12,0.66,2.48,86.97,h30035.CSI,2012-12-21,2024-04-03
163,茅指数,18.65,38.39,3.33,34.07,2.04,70.78,8841415.WI,,2024-04-03
164,CS智汽车,39.83,38.75,3.04,6.03,0.71,68.23,930721.CSI,2015-08-05,2024-04-03
165,红利低波,6.3,39.79,0.68,26.59,5.39,68.19,h30269.CSI,2013-12-19,2024-04-03
166,券商Ⅱ(申万),20.8,39.87,1.1,0.53,1.47,62.84,801193.SI,2003-10-16,2024-04-03
167,非银金融(申万),15.29,40.12,1.01,0.49,2.16,84.22,801790.SI,2014-02-21,2024-04-03
168,国证价值,8.67,40.15,0.9,20.12,4.44,83.63,399371.SZ,2010-01-04,2024-04-03
169,胡志明指数,14.31,40.26,1.72,7.82,2.07,44.81,VNINDEX.GI,2000-07-28,2024-04-01
170,深证F120,19.25,40.36,1.82,9.86,2.05,84.34,399702.SZ,2010-05-10,2024-04-03
171,金融科技,49.1,40.65,3.27,1.88,0.72,86.24,930986.CSI,2017-06-22,2024-04-03
172,中盘价值,11.94,40.69,1.38,56.84,3.56,91.25,399375.SZ,2010-01-04,2024-04-03
173,大盘成长,17.69,41.43,2.58,44.31,2.34,85.33,399372.SZ,2010-01-04,2024-04-03
174,国企改革,12.56,41.98,1.4,25.29,3.08,78.37,399974.SZ,2014-08-07,2024-04-03
175,全指价值,8.04,42.21,0.84,23.76,4.75,83.48,000058.SH,2010-01-04,2024-04-03
176,上证指数,13.2,42.42,1.25,6.54,2.73,86.77,000001.SH,1991-07-15,2024-04-03
177,煤炭(申万),9.94,42.76,1.52,73.33,6.86,91.2,801950.SI,2021-12-13,2024-04-03
178,MSCI中国A股国际通实时(人民币),12.31,42.98,1.3,10.2,2.77,79.72,716567.CSI,2017-10-23,2024-04-03
179,传媒(申万),36.65,42.99,2.27,25.03,1.51,86.93,801760.SI,2014-02-21,2024-04-03
180,商贸零售(申万),27.97,43.03,1.56,27.17,1.37,69.13,801200.SI,2003-10-16,2024-04-03
181,电子(申万),43.06,43.49,2.45,5.06,0.79,75.22,801080.SI,2003-10-16,2024-04-03
182,计算机(申万),55.75,43.61,2.91,6.04,0.67,89.31,801750.SI,2014-02-21,2024-04-03
183,中证央企红利,6.96,43.73,0.74,26.43,4.75,54.71,000825.CSI,,2024-04-03
184,上证180,10.52,43.81,1.12,8.8,3.4,83.6,000010.SH,2002-07-01,2024-04-03
185,香港中小盘,12.74,44.05,0.9,13.44,4.08,86.2,SPHCMSHP.SPI,2005-12-16,2024-04-03
186,轻工制造(申万),27.5,44.31,1.78,16.85,1.69,97.45,801140.SI,2003-10-16,2024-04-03
187,全指材料,20.62,44.32,1.72,17.59,1.99,81.75,000987.SH,2011-08-02,2024-04-03
188,CS创新药,40.79,44.72,2.95,0.67,1.18,99.0,931152.CSI,2019-04-22,2024-04-03
189,国证芯片,68.1,45.15,3.59,1.69,0.26,61.18,980017.CNI,2015-02-17,2024-04-03
190,细分化工,22.1,45.31,2.17,22.7,1.72,74.87,000813.CSI,2012-04-11,2024-04-03
191,300价值,8.15,46.03,0.85,19.52,4.64,81.46,000919.CSI,2008-01-21,2024-04-03
192,深证价值,14.5,46.57,1.45,11.1,2.63,71.93,399348.SZ,2009-11-04,2024-04-03
193,红利质量,19.71,46.76,4.74,70.88,2.73,77.47,931468.CSI,2020-05-21,2024-04-03
194,小盘价值,15.77,46.77,1.08,13.44,3.17,83.39,399377.SZ,2010-01-04,2024-04-03
195,中证2000,59.38,47.44,2.01,23.08,0.98,73.72,932000.CSI,2023-08-11,2024-04-03
196,全指公用,18.82,47.51,1.86,73.41,2.2,25.15,000995.CSI,2011-08-02,2024-04-03
197,机器人,50.72,47.8,3.48,36.2,0.7,66.05,H30590.CSI,2015-02-10,2024-04-03
198,CS电子,42.49,48.14,3.01,12.8,0.98,79.0,930652.CSI,2015-06-05,2024-04-03
199,CS智消费,24.42,48.56,2.57,7.64,1.56,47.95,930648.CSI,2015-06-05,2024-04-03
200,港股通高股息(CNY),5.31,49.41,0.49,43.95,8.26,67.52,930915.CSI,2016-11-25,2024-04-03
201,石油石化(申万),17.6,49.42,1.41,35.84,3.71,72.34,801960.SI,2021-12-13,2024-04-03
202,中特估指数,8.58,50.1,0.89,39.99,4.1,73.94,8841681.WI,,2024-04-03
203,证券公司,21.87,50.27,1.21,3.58,1.42,52.61,399975.SZ,2013-07-15,2024-04-03
204,印度孟买SENSEX30,23.49,51.11,3.46,87.17,1.12,22.58,SENSEX.BO,1986-01-01,2024-04-01
205,国企一带一路,12.93,51.33,1.75,70.16,2.92,48.91,000859.CSI,2019-05-16,2024-04-03
206,房地产(申万),12.89,52.24,0.63,0.25,2.5,53.27,801180.SI,2003-10-16,2024-04-03
207,上证50,10.15,52.94,1.13,11.18,3.88,84.87,000016.SH,2004-01-02,2024-04-03
208,人工智能,48.46,52.95,3.55,5.14,0.76,78.82,931071.CSI,2014-12-31,2024-04-03
209,CSSW证券,21.56,53.14,1.22,4.12,1.47,55.75,399707.SZ,2015-04-16,2024-04-03
210,MSCI中国A50互联互通,10.63,53.24,1.25,24.31,3.48,91.07,746059.MI,2021-09-17,2024-04-03
211,建筑材料(申万),17.35,53.93,1.13,1.48,2.82,88.61,801710.SI,2014-02-21,2024-04-03
212,HKC科技(CNY),26.54,54.69,2.51,48.69,0.7,36.21,931573CNY00.CSI,2014-05-21,2024-04-03
213,180价值,7.85,54.75,0.82,22.98,4.91,80.97,000029.SH,2009-01-09,2024-04-03
214,央企创新,13.21,55.56,1.38,96.63,3.2,63.64,000861.CSI,,2024-04-03
215,钢铁(申万),20.04,55.57,0.93,18.08,2.12,44.55,801040.SI,2003-10-16,2024-04-03
216,300成长,15.72,55.65,2.48,47.47,2.09,82.33,000918.CSI,2008-01-21,2024-04-03
217,中证煤炭,10.72,57.0,1.69,93.38,6.98,90.18,399998.SZ,2015-02-13,2024-04-03
218,恒生医疗保健,36.08,58.01,1.66,0.41,1.27,77.28,HSHCI.HI,2015-08-17,2024-04-01
219,中证半导,74.0,58.69,3.86,17.14,0.25,41.06,931865.CSI,2016-12-30,2024-04-03
220,汽车(申万),24.71,58.73,2.11,35.59,1.18,12.41,801880.SI,2014-02-21,2024-04-03
221,500SNLV,20.3,58.95,1.38,31.87,2.2,72.47,930782.CSI,2016-02-04,2024-04-03
222,消费电子,37.46,59.46,2.56,3.89,1.14,78.59,931494.CSI,2020-06-12,2024-04-03
223,全指成长,14.36,60.09,2.14,52.94,2.82,81.67,000057.SH,2010-01-04,2024-04-03
224,建筑材料,19.22,60.09,0.98,0.66,2.81,82.82,931009.CSI,2013-07-15,2024-04-03
225,深证F60,19.86,60.46,1.93,15.78,2.06,67.98,399701.SZ,2010-05-10,2024-04-03
226,中证全指电力指数,20.08,62.39,1.86,81.67,2.08,16.03,h30199.CSI,2013-07-15,2024-04-03
227,智能电车,21.74,62.42,3.13,57.89,1.06,39.98,H11052.CSI,2009-07-22,2024-04-03
228,500价值稳健,13.75,63.72,1.15,64.21,3.24,46.55,931587.CSI,2020-11-09,2024-04-03
229,CS人工智,58.59,63.87,3.82,16.26,0.69,77.86,930713.CSI,2015-07-31,2024-04-03
230,养殖业(申万),60.82,64.16,3.18,15.41,1.03,42.38,801017.SI,1999-12-30,2024-04-03
231,万得小市值指数,135.13,64.39,1.87,5.84,1.05,92.11,8841425.WI,2010-12-31,2024-04-03
232,农林牧渔(申万),50.68,64.41,2.61,7.4,1.08,64.12,801010.SI,2003-10-16,2024-04-03
233,500成长估值,16.7,64.45,2.15,63.06,1.63,40.96,930938.CSI,2018-12-04,2024-04-03
234,绿色电力,20.07,64.96,1.95,79.13,2.13,17.63,399438.SZ,2014-12-30,2024-04-03
235,中证全指半导体,87.97,65.19,3.75,38.8,0.32,73.2,h30184.CSI,2013-07-15,2024-04-03
236,智能制造,34.18,65.24,3.01,14.31,1.12,52.32,930850.CSI,2016-07-20,2024-04-03
237,ESG120策略,10.47,65.37,1.16,16.47,3.41,68.42,931476.CSI,2020-04-30,2024-04-03
238,AH经济蓝筹,13.15,65.8,1.34,9.8,2.73,78.94,931134.CSI,2019-03-20,2024-04-03
239,深证红利,16.77,66.09,1.56,4.81,2.77,69.71,399324.SZ,2006-01-24,2024-04-03
240,数字经济,49.24,66.14,4.03,2.9,0.64,71.22,931582.CSI,2020-11-09,2024-04-03
241,中证A50,15.78,66.67,1.98,66.67,2.76,4.92,930050.CSI,2024-01-02,2024-04-03
242,SHS云计算,33.17,67.4,3.57,9.9,0.68,90.73,931470.CSI,2020-04-21,2024-04-03
243,中证体育,50.8,68.04,2.58,7.24,1.48,83.06,399804.SZ,2015-02-09,2024-04-03
244,综合(申万),54.54,70.28,1.27,3.58,0.41,55.53,801230.SI,2003-10-16,2024-04-03
245,电子50,37.09,70.69,3.0,13.36,1.08,78.67,931461.CSI,2009-07-22,2024-04-03
246,1000成长创新,33.1,72.91,2.91,3.63,1.27,93.83,931591.CSI,2020-11-09,2024-04-03
247,国证钢铁,23.98,73.29,0.91,13.01,2.39,44.23,399440.SZ,2014-12-30,2024-04-03
248,云计算,75.24,73.73,3.67,58.78,0.45,38.28,930851.CSI,2016-07-20,2024-04-03
249,300质量低波,12.7,73.91,1.7,65.31,3.09,33.93,931375.CSI,2019-11-25,2024-04-03
250,软件指数,117.42,79.24,3.75,0.99,0.56,94.0,h30202.CSI,2013-07-15,2024-04-03
251,180成长,16.9,79.98,2.86,66.83,2.55,79.74,000028.SH,2009-01-09,2024-04-03
252,韩国综合指数,20.21,80.7,1.0,64.55,1.76,46.76,KS11.GI,1980-01-04,2024-04-01
253,300红利LV,7.88,82.3,0.83,47.6,4.25,42.43,930740.CSI,2018-12-04,2024-04-03
254,中韩半导体,61.86,83.09,3.4,4.86,0.26,54.95,931790.CSI,2021-12-20,2024-04-03
255,中证钢铁,36.38,83.78,0.9,8.2,2.23,40.29,930606.CSI,2015-03-31,2024-04-03
256,科创芯片,110.67,84.39,3.58,1.81,0.24,64.93,000685.SH,2022-06-13,2024-04-03
257,标普500,26.17,85.13,4.74,98.49,1.3,7.41,SPX.GI,1957-03-04,2024-04-01
258,芯片产业,88.13,87.19,3.62,26.76,0.25,31.44,H30007.CSI,2012-12-20,2024-04-03
259,标普500医疗,31.95,87.69,5.58,95.94,1.56,23.23,S5HLTH.SPI,1996-06-28,2024-04-01
260,纳斯达克100,35.33,88.9,8.74,91.07,0.59,8.19,NDX.GI,1985-02-01,2024-04-01
